model,distance,p_0,shots,n_traj,rate,stderr,seed
markovian,3,0.003,200,20,0.016500000000000004,0.001455479664107877,2688385916
markovian,3,0.005,200,20,0.037250000000000005,0.0027259715795715073,3048105090
markovian,3,0.008,200,20,0.0765,0.004040909225461647,4196366895
markovian,3,0.013,200,20,0.15274999999999997,0.00681016075241137,3152189807
markovian,3,0.02,200,20,0.2845000000000001,0.0060469653111030995,924159892
markovian,3,0.03,200,20,0.40024999999999994,0.007690347675392904,1692637855
markovian,3,0.05,200,20,0.49175000000000013,0.00778219120813669,2685664627
markovian,5,0.003,200,20,0.013000000000000001,0.0019330913339165219,1052446614
markovian,5,0.005,200,20,0.052500000000000005,0.0042068240301981535,4060798411
markovian,5,0.008,200,20,0.14675,0.0051077211933966875,79012025
markovian,5,0.013,200,20,0.32600000000000007,0.008172482712383704,1424849469
markovian,5,0.02,200,20,0.45124999999999993,0.007820982237410769,456588219
markovian,5,0.03,200,20,0.4980000000000001,0.009949874371066198,3872774996
markovian,5,0.05,200,20,0.5017499999999999,0.00858605816057882,3644184809
sum_of_ou,3,0.003,200,40,0.014500000000000002,0.0013131484966899115,2688385916
sum_of_ou,3,0.005,200,40,0.033999999999999996,0.002230327100305911,3048105090
sum_of_ou,3,0.008,200,40,0.082125,0.002818707537061477,4196366895
sum_of_ou,3,0.013,200,40,0.16475,0.004461193067974483,3152189807
sum_of_ou,3,0.02,200,40,0.28700000000000003,0.007036534694920541,924159892
sum_of_ou,3,0.03,200,40,0.38675000000000004,0.006174674288098326,1692637855
sum_of_ou,3,0.05,200,40,0.4715,0.005504077742444396,2685664627
sum_of_ou,5,0.003,200,40,0.013625000000000002,0.0013154347531305344,1052446614
sum_of_ou,5,0.005,200,40,0.05337499999999999,0.00255946897036405,4060798411
sum_of_ou,5,0.008,200,40,0.154625,0.004904169798269265,79012025
sum_of_ou,5,0.013,200,40,0.33387500000000003,0.006127615872592805,1424849469
sum_of_ou,5,0.02,200,40,0.47625,0.006012140495142586,456588219
sum_of_ou,5,0.03,200,40,0.49412500000000004,0.006281044693034547,3872774996
sum_of_ou,5,0.05,200,40,0.49387499999999995,0.006048647602606125,3644184809
