model,distance,p_0,shots,n_traj,rate,stderr,seed
markovian,3,0.002,4000,60,0.007116666666666668,0.00019341806053044708,65802485
markovian,3,0.0026,4000,60,0.011099999999999997,0.00022566599487503172,3238178516
markovian,3,0.0032,4000,60,0.017241666666666666,0.0003512973668057739,15138348
markovian,3,0.0038,4000,60,0.02290833333333333,0.0003368790933561916,2562522991
markovian,3,0.0044,4000,60,0.029558333333333332,0.00043106615735298207,1849774808
markovian,3,0.0052,4000,60,0.0394,0.0005884721191596493,2428351419
markovian,3,0.0062,4000,60,0.05333333333333333,0.0006311048363789821,2331622851
markovian,5,0.002,4000,60,0.0043708333333333325,0.00013891372188542161,3923064550
markovian,5,0.0026,4000,60,0.009441666666666664,0.00022700508551841764,2983928066
markovian,5,0.0032,4000,60,0.01625,0.00024971735434716364,854446555
markovian,5,0.0038,4000,60,0.025466666666666662,0.0004003647113215188,3567563470
markovian,5,0.0044,4000,60,0.03836666666666667,0.00039775440756606304,807449267
markovian,5,0.0052,4000,60,0.057025,0.0004682994539085791,1874147948
markovian,5,0.0062,4000,60,0.08732916666666665,0.0006160085337505348,3234267297
sum_of_ou,3,0.002,4000,150,0.006839999999999999,0.00013250469579286178,65802485
sum_of_ou,3,0.0026,4000,150,0.011003333333333332,0.00017629334579984438,3238178516
sum_of_ou,3,0.0032,4000,150,0.017003333333333336,0.0002569393362654054,15138348
sum_of_ou,3,0.0038,4000,150,0.02257833333333333,0.0003420651901795733,2562522991
sum_of_ou,3,0.0044,4000,150,0.02938,0.0003717116825498919,1849774808
sum_of_ou,3,0.0052,4000,150,0.03900333333333334,0.000514140029730728,2428351419
sum_of_ou,3,0.0062,4000,150,0.054003333333333334,0.0006158649483458561,2331622851
sum_of_ou,5,0.002,4000,150,0.00429,9.394653151126848e-05,3923064550
sum_of_ou,5,0.0026,4000,150,0.008843333333333333,0.00015933914603795388,2983928066
sum_of_ou,5,0.0032,4000,150,0.01641,0.00023264455706696838,854446555
sum_of_ou,5,0.0038,4000,150,0.025806666666666665,0.00030857566509486737,3567563470
sum_of_ou,5,0.0044,4000,150,0.03819333333333333,0.0004494163917949805,807449267
sum_of_ou,5,0.0052,4000,150,0.05698833333333333,0.0005160800053879466,1874147948
sum_of_ou,5,0.0062,4000,150,0.086335,0.0007071417006424327,3234267297
