model,tau_c,distance,p_0,rate,stderr
markovian,inf,3,0.002,0.007116666666666668,0.00019341806053044708
markovian,inf,3,0.0026,0.011099999999999997,0.00022566599487503172
markovian,inf,3,0.0032,0.017241666666666666,0.0003512973668057739
markovian,inf,3,0.0038,0.02290833333333333,0.0003368790933561916
markovian,inf,3,0.0044,0.029558333333333332,0.00043106615735298207
markovian,inf,3,0.0052,0.0394,0.0005884721191596493
markovian,inf,3,0.0062,0.05333333333333333,0.0006311048363789821
markovian,inf,5,0.002,0.0043708333333333325,0.00013891372188542161
markovian,inf,5,0.0026,0.009441666666666664,0.00022700508551841764
markovian,inf,5,0.0032,0.01625,0.00024971735434716364
markovian,inf,5,0.0038,0.025466666666666662,0.0004003647113215188
markovian,inf,5,0.0044,0.03836666666666667,0.00039775440756606304
markovian,inf,5,0.0052,0.057025,0.0004682994539085791
markovian,inf,5,0.0062,0.08732916666666665,0.0006160085337505348
sum_of_ou,0.2,3,0.002,0.006974999999999999,0.00010546450997152869
sum_of_ou,0.2,3,0.0026,0.011171666666666665,0.00013612438109687845
sum_of_ou,0.2,3,0.0032,0.016533333333333337,0.0001816477321167179
sum_of_ou,0.2,3,0.0038,0.022675,0.0002477838010858194
sum_of_ou,0.2,3,0.0044,0.029378333333333336,0.0002823651374420269
sum_of_ou,0.2,3,0.0052,0.03953333333333333,0.0003111074491102258
sum_of_ou,0.2,3,0.0062,0.05382,0.00043358141238216265
sum_of_ou,0.2,5,0.002,0.0044733333333333335,8.027311694150692e-05
sum_of_ou,0.2,5,0.0026,0.009254999999999998,0.00013925878409833207
sum_of_ou,0.2,5,0.0032,0.016444999999999994,0.0001845526364352797
sum_of_ou,0.2,5,0.0038,0.02595333333333333,0.00021151666371842717
sum_of_ou,0.2,5,0.0044,0.037781666666666665,0.0002899056456342631
sum_of_ou,0.2,5,0.0052,0.05691833333333334,0.0003793649517181252
sum_of_ou,0.2,5,0.0062,0.08599666666666667,0.00046578688242150326
sum_of_ou,0.536539,3,0.002,0.006886666666666668,0.00011562945781156147
sum_of_ou,0.536539,3,0.0026,0.011271666666666666,0.0001572970918142291
sum_of_ou,0.536539,3,0.0032,0.016735,0.00019678952860412228
sum_of_ou,0.536539,3,0.0038,0.022758333333333332,0.0002172820807383631
sum_of_ou,0.536539,3,0.0044,0.029569999999999996,0.00029587129132290413
sum_of_ou,0.536539,3,0.0052,0.04034666666666666,0.0003862773825329733
sum_of_ou,0.536539,3,0.0062,0.053228333333333336,0.00041738597866087867
sum_of_ou,0.536539,5,0.002,0.004393333333333332,9.031224317727173e-05
sum_of_ou,0.536539,5,0.0026,0.009261666666666668,0.0001257713708800021
sum_of_ou,0.536539,5,0.0032,0.016455,0.0001812995284485317
sum_of_ou,0.536539,5,0.0038,0.025585,0.00022352962257835623
sum_of_ou,0.536539,5,0.0044,0.038101666666666666,0.0003026643124902285
sum_of_ou,0.536539,5,0.0052,0.05731166666666667,0.000368152901032172
sum_of_ou,0.536539,5,0.0062,0.08791000000000002,0.0005035016089806318
sum_of_ou,1.43937,3,0.002,0.006808333333333332,0.00013244425332428693
sum_of_ou,1.43937,3,0.0026,0.011465,0.00017218541980070875
sum_of_ou,1.43937,3,0.0032,0.016890000000000002,0.00021257292471560824
sum_of_ou,1.43937,3,0.0038,0.022975,0.0002736850808683822
sum_of_ou,1.43937,3,0.0044,0.03018333333333334,0.0003501251507364548
sum_of_ou,1.43937,3,0.0052,0.040108333333333336,0.00039721074956185025
sum_of_ou,1.43937,3,0.0062,0.05465833333333334,0.0005042904104246225
sum_of_ou,1.43937,5,0.002,0.004353333333333333,8.785877760580487e-05
sum_of_ou,1.43937,5,0.0026,0.009216666666666666,0.00013119794518315966
sum_of_ou,1.43937,5,0.0032,0.016439999999999996,0.00020785309301861476
sum_of_ou,1.43937,5,0.0038,0.025836666666666664,0.0002611601489802027
sum_of_ou,1.43937,5,0.0044,0.03745666666666667,0.00032785270696545824
sum_of_ou,1.43937,5,0.0052,0.056468333333333336,0.00043092362607983765
sum_of_ou,1.43937,5,0.0062,0.08669,0.0005713992402187766
sum_of_ou,3.8614,3,0.002,0.006766666666666666,0.00012763260566303998
sum_of_ou,3.8614,3,0.0026,0.011549999999999998,0.00018086604978327422
sum_of_ou,3.8614,3,0.0032,0.016883333333333334,0.0002453786129307484
sum_of_ou,3.8614,3,0.0038,0.023056666666666663,0.00030831274494416173
sum_of_ou,3.8614,3,0.0044,0.029349999999999998,0.0003926121435997789
sum_of_ou,3.8614,3,0.0052,0.03950833333333334,0.00045631546857470415
sum_of_ou,3.8614,3,0.0062,0.052325,0.0005841768429958666
sum_of_ou,3.8614,5,0.002,0.004229999999999999,9.034856686564329e-05
sum_of_ou,3.8614,5,0.0026,0.009249999999999998,0.00013425992354143223
sum_of_ou,3.8614,5,0.0032,0.016565,0.00022993810566863148
sum_of_ou,3.8614,5,0.0038,0.025728333333333332,0.0002966529984534529
sum_of_ou,3.8614,5,0.0044,0.038601666666666666,0.00043182341051321344
sum_of_ou,3.8614,5,0.0052,0.057001666666666666,0.0005090154590081931
sum_of_ou,3.8614,5,0.0062,0.08676166666666667,0.0007195081928114121
sum_of_ou,10.3589,3,0.002,0.006723333333333335,0.00012563366605426333
sum_of_ou,10.3589,3,0.0026,0.011109999999999998,0.00021630256793402753
sum_of_ou,10.3589,3,0.0032,0.01687,0.00028781868826647833
sum_of_ou,10.3589,3,0.0038,0.022433333333333336,0.00036815085015695685
sum_of_ou,10.3589,3,0.0044,0.02968666666666667,0.0005387199316921422
sum_of_ou,10.3589,3,0.0052,0.040286666666666665,0.0006000810285828291
